time, prob_0
8.960000,0.937573
8.970000,0.935491
8.980000,0.933392
8.990000,0.931276
9.000000,0.929145
9.010000,0.926999
9.020000,0.924839
9.030000,0.922667
9.040000,0.920484
9.050000,0.918290
9.060000,0.916087
9.070000,0.913877
9.080000,0.911659
9.090000,0.909435
9.100000,0.907207
9.110000,0.904975
9.120000,0.902741
9.130000,0.900505
9.140000,0.898269
9.150000,0.896034
9.160000,0.893801
9.170000,0.891571
9.180000,0.889345
9.190000,0.887125
9.200000,0.884911
9.210000,0.882704
9.220000,0.880506
9.230000,0.878318
9.240000,0.876141
9.250000,0.873975
9.260000,0.871823
9.270000,0.869685
9.280000,0.867562
9.290000,0.865455
9.300000,0.863365
9.310000,0.861294
9.320000,0.859242
9.330000,0.857211
9.340000,0.855200
9.350000,0.853213
9.360000,0.851248
9.370000,0.849308
9.380000,0.847394
9.390000,0.845505
9.400000,0.843644
9.410000,0.841811
9.420000,0.840007
9.430000,0.838234
9.440000,0.836491
9.450000,0.834779
9.460000,0.833101
9.470000,0.831456
9.480000,0.829845
9.490000,0.828269
9.500000,0.826729
9.510000,0.825226
9.520000,0.823760
9.530000,0.822332
9.540000,0.820943
9.550000,0.819594
9.560000,0.818285
9.570000,0.817016
9.580000,0.815789
9.590000,0.814604
9.600000,0.813462
9.610000,0.812364
9.620000,0.811309
9.630000,0.810298
9.640000,0.809332
9.650000,0.808412
9.660000,0.807537
9.670000,0.806708
9.680000,0.805927
9.690000,0.805192
9.700000,0.804505
9.710000,0.803865
9.720000,0.803273
9.730000,0.802730
9.740000,0.802236
9.750000,0.801790
9.760000,0.801393
9.770000,0.801046
9.780000,0.800748
9.790000,0.800500
9.800000,0.800302
9.810000,0.800153
9.820000,0.800054
9.830000,0.800006
9.840000,0.800007
9.850000,0.800058
9.860000,0.800159
9.870000,0.800311
9.880000,0.800512
9.890000,0.800762
9.900000,0.801063
9.910000,0.801413
9.920000,0.801812
9.930000,0.802260
9.940000,0.802757
9.950000,0.803303
9.960000,0.803897
9.970000,0.804539
9.980000,0.805229
9.990000,0.805966
